LikelyOpen,VeryLikelyOpen,Latitude,Longitude,Unsure
4.0,6.0,49.262487,-123.114397,
1.0,9.0,49.274566,-123.121817,
,10.0,49.279764,-123.110154,
3.0,7.0,49.260599,-123.113504,
5.0,5.0,49.264215,-123.117772,
1.0,9.0,49.270877,-123.115103,
2.0,8.0,49.26893,-123.11813,
2.0,8.0,49.271721,-123.104207,
1.0,9.0,49.287214,-123.11287,
,10.0,49.282409,-123.118541,
1.0,9.0,49.287097,-123.118551,
1.0,9.0,49.273471,-123.118016,
,10.0,49.282758,-123.122092,
1.0,9.0,49.28602,-123.116624,
,10.0,49.279739,-123.116251,
,10.0,49.275679,-123.116963,
,10.0,49.282759,-123.106955,
,10.0,49.288444,-123.139203,
1.0,9.0,49.289124,-123.12196,
,10.0,49.28062,-123.12482,
1.0,9.0,49.279938,-123.127478,
2.0,8.0,49.273663,-123.127075,
2.0,5.0,49.28972,-123.144028,3.0
,10.0,49.285253,-123.134356,
,10.0,49.283343,-123.131099,
,10.0,49.284605,-123.108662,
,10.0,49.279821,-123.10802,
,10.0,49.278004,-123.105664,
1.0,9.0,49.279342,-123.101822,
,10.0,49.273833,-123.114373,
2.0,8.0,49.28526,-123.141809,
,10.0,49.281506,-123.120101,
,10.0,49.276115,-123.114496,
1.0,8.0,49.272827,-123.147744,1.0
1.0,8.0,49.269361,-123.13782,1.0
1.0,9.0,49.2653,-123.13811,
3.0,7.0,49.262598,-123.138921,
3.0,5.0,49.25894,-123.139272,
6.0,4.0,49.258763,-123.115392,
3.0,7.0,49.266724,-123.104824,
2.0,8.0,49.262141,-123.101961,
2.0,7.0,49.268269,-123.147885,1.0
2.0,7.0,49.275717,-123.142564,1.0
,10.0,49.276436,-123.11877,
,10.0,49.277844,-123.120942,
4.0,6.0,49.265089,-123.119425,
1.0,9.0,49.28026,-123.135244,
,8.0,49.291909,-123.140713,2.0
,9.0,49.293257,-123.138563,1.0
,10.0,49.288011,-123.132006,
,10.0,49.28117,-123.104419,
,10.0,49.283227,-123.120523,
1.0,3.0,49.299292,-123.130281,2.0
,1.0,49.29534,-123.150433,1.0
,3.0,49.294318,-123.148808,3.0
1.0,4.0,49.298657,-123.121176,1.0
7.0,3.0,49.259183,-123.120126,
2.0,8.0,49.263837,-123.105173,
1.0,8.0,49.270721,-123.146175,1.0
2.0,7.0,49.265605,-123.152566,1.0
2.0,6.0,49.267222,-123.153157,2.0
2.0,8.0,49.262255,-123.126217,
1.0,1.0,49.257654,-123.153212,
3.0,7.0,49.25919,-123.148268,
2.0,6.0,49.25741,-123.148531,
,10.0,49.285953,-123.124066,
,10.0,49.280881,-123.130672,
7.0,3.0,49.256845,-123.120071,
3.0,7.0,49.25849,-123.104799,
2.0,8.0,49.258425,-123.100792,
2.0,8.0,49.270905,-123.126006,
2.0,8.0,49.273568,-123.129935,
1.0,9.0,49.277141,-123.122589,
,9.0,49.267859,-123.145782,1.0
2.0,7.0,49.265336,-123.145823,1.0
1.0,9.0,49.267628,-123.127698,
2.0,7.0,49.275938,-123.145939,1.0
1.0,9.0,49.2756,-123.102661,
1.0,9.0,49.284157,-123.099917,
2.0,4.0,49.258924,-123.152591,
1.0,8.0,49.266774,-123.141135,1.0
2.0,5.0,49.273355,-123.154493,3.0
2.0,5.0,49.276144,-123.151272,3.0
1.0,8.0,49.268339,-123.157443,1.0
3.0,7.0,49.284062,-123.095097,
3.0,7.0,49.261742,-123.13148,
3.0,7.0,49.262206,-123.109091,
3.0,7.0,49.27023,-123.10651,
2.0,8.0,49.262062,-123.104656,
2.0,8.0,49.27033,-123.10275,
3.0,7.0,49.258902,-123.109596,
3.0,7.0,49.265071,-123.123864,
,10.0,49.265198,-123.131043,
1.0,9.0,49.273691,-123.102232,
2.0,8.0,49.2685027,-123.0975014,
1.0,9.0,49.288682,-123.11818,
1.0,6.0,49.271741,-123.155421,3.0
4.0,6.0,49.262822,-123.14338,
2.0,8.0,49.263635,-123.099236,
,10.0,49.28763,-123.127245,
2.0,3.0,49.297933,-123.130758,2.0
3.0,6.0,49.258819,-123.131317,
1.0,9.0,49.280284,-123.097052,
,10.0,49.276294,-123.106534,
,5.0,49.277469,-123.081315,5.0
1.0,8.0,49.277665,-123.073653,1.0
1.0,8.0,49.277436,-123.070427,1.0
2.0,6.0,49.280332,-123.070068,2.0
3.0,7.0,49.279369,-123.091241,
3.0,7.0,49.283992,-123.091206,
1.0,7.0,49.274881,-123.069323,2.0
1.0,8.0,49.275882,-123.071865,1.0
3.0,7.0,49.273777,-123.092723,
2.0,8.0,49.265005,-123.079481,
1.0,8.0,49.271377,-123.069416,1.0
1.0,8.0,49.268616,-123.069908,1.0
1.0,8.0,49.266969,-123.069936,1.0
2.0,6.0,49.263242,-123.070521,2.0
2.0,4.0,49.261403,-123.070102,1.0
1.0,3.0,49.261263,-123.073707,1.0
1.0,4.0,49.262242,-123.081459,1.0
3.0,7.0,49.262321,-123.09306,
2.0,7.0,49.264251,-123.073853,1.0
2.0,7.0,49.266751,-123.073501,1.0
1.0,8.0,49.270684,-123.073562,1.0
1.0,7.0,49.2731,-123.0732,2.0
,10.0,49.254667,-123.101389,
2.0,8.0,49.256694,-123.096579,
2.0,8.0,49.258352,-123.096337,
2.0,8.0,49.258817,-123.092797,
3.0,7.0,49.26151,-123.089413,
3.0,7.0,49.263382,-123.088837,
2.0,4.0,49.261353,-123.085333,4.0
3.0,3.0,49.264466,-123.085183,4.0
1.0,6.0,49.280197,-123.065859,3.0
2.0,7.0,49.266725,-123.065925,1.0
1.0,4.0,49.261188,-123.066009,1.0
1.0,2.0,49.256857,-123.065646,1.0
2.0,6.0,49.283986,-123.065264,2.0
4.0,3.0,49.257985,-123.083366,3.0
2.0,8.0,49.257939,-123.089531,
4.0,2.0,49.256496,-123.075426,1.0
2.0,5.0,49.283236,-123.070443,3.0
3.0,7.0,49.267266,-123.090786,
3.0,7.0,49.265242,-123.095577,
3.0,7.0,49.265213,-123.090785,
1.0,9.0,49.277595,-123.09583,
3.0,6.0,49.279235,-123.087528,1.0
3.0,7.0,49.277333,-123.087359,
1.0,7.0,49.273103,-123.069892,2.0
3.0,7.0,49.261973,-123.09725,
1.0,9.0,49.275295,-123.132585,
,10.0,49.285871,-123.12105,
,10.0,49.284893,-123.128685,
3.0,7.0,49.263962,-123.112621,
3.0,7.0,49.277615,-123.091654,
,10.0,49.282214,-123.114101,
2.0,8.0,49.266456,-123.100324,
2.0,8.0,49.268216,-123.103168,
,10.0,49.284554,-123.111031,
,10.0,49.280216,-123.117639,
3.0,7.0,49.266314,-123.116011,
3.0,4.0,49.280852,-123.084746,3.0
1.0,9.0,49.285512,-123.1384,
3.0,7.0,49.27821,-123.136972,
3.0,7.0,49.281301,-123.139108,
1.0,9.0,49.283298,-123.142288,
,10.0,49.280787,-123.115271,
3.0,7.0,49.266476,-123.109389,
,10.0,49.290587,-123.13625,
3.0,6.0,49.262835,-123.152626,1.0
2.0,8.0,49.256825,-123.105234,
2.0,8.0,49.275683,-123.124388,
3.0,7.0,49.263518,-123.09568,
,10.0,49.28691,-123.128818,
,10.0,49.282503,-123.124697,
1.0,9.0,49.283749,-123.136133,
2.0,8.0,49.262944,-123.148109,
1.0,8.0,49.27029,-123.135025,1.0
1.0,7.0,49.280427,-123.074082,2.0
,10.0,49.279259,-123.119145,
,10.0,49.285836,-123.127265,
2.0,7.0,49.272969,-123.164325,1.0
1.0,3.0,49.27247,-123.185643,1.0
1.0,7.0,49.271471,-123.17731,2.0
1.0,9.0,49.290112,-123.127062,
2.0,7.0,49.263523,-123.155267,1.0
2.0,6.0,49.264928,-123.168068,2.0
1.0,6.0,49.264483,-123.173926,3.0
1.0,6.0,49.264579,-123.18373,3.0
2.0,6.0,49.263746,-123.069892,2.0
3.0,7.0,49.258761,-123.127071,
2.0,3.0,49.268974,-123.190701,1.0
1.0,7.0,49.273011,-123.159663,2.0
2.0,6.0,49.266924,-123.173849,2.0
1.0,7.0,49.264326,-123.164725,2.0
1.0,6.0,49.266636,-123.183661,3.0
5.0,1.0,49.254818,-123.114785,1.0
1.0,6.0,49.268837,-123.177633,3.0
5.0,2.0,49.255034,-123.120226,
2.0,5.0,49.271044,-123.170661,3.0
1.0,9.0,49.252691,-123.101289,
3.0,7.0,49.272172,-123.097978,
1.0,2.0,49.271082,-123.191458,
1.0,9.0,49.27808,-123.130557,
3.0,7.0,49.269969,-123.109623,
2.0,8.0,49.287528,-123.142139,
1.0,8.0,49.28803,-123.142135,1.0
6.0,4.0,49.259579,-123.114769,
,10.0,49.2890705989865,-123.138407369468,
,10.0,49.287782,-123.12395,
,10.0,49.28512,-123.11242,
,1.0,49.247854,-123.153422,
3.0,7.0,49.265939,-123.1129,
3.0,7.0,49.261122,-123.097571,
3.0,7.0,49.267725,-123.11311,
2.0,,49.245135,-123.116098,
1.0,9.0,49.274232,-123.129998,
1.0,,49.238105,-123.154966,1.0
1.0,,49.246243,-123.124373,
1.0,9.0,49.249722,-123.104991,
2.0,7.0,49.243375,-123.104978,
2.0,5.0,49.282087,-123.056909,1.0
2.0,6.0,49.283968,-123.061615,2.0
3.0,5.0,49.287464,-123.060771,1.0
3.0,6.0,49.285575,-123.061575,1.0
2.0,,49.251358,-123.115637,
2.0,,49.249184,-123.116141,
1.0,,49.245535,-123.120496,
,10.0,49.289255,-123.132677,
4.0,1.0,49.252656,-123.067965,1.0
3.0,6.0,49.259469,-123.145718,
1.0,9.0,49.277178,-123.13,
1.0,9.0,49.291597,-123.129158,
2.0,8.0,49.247204,-123.101549,
,10.0,49.2856698,-123.1125432,
,9.0,49.25094,-123.101306,1.0
1.0,8.0,49.270783,-123.141564,1.0
,,49.264019,-123.209176,1.0
,,49.2658,-123.20596,1.0
1.0,6.0,49.265442,-123.187738,3.0
3.0,4.0,49.267561,-123.252261,2.0
3.0,4.0,49.2665793,-123.2485487,2.0
1.0,3.0,49.26262,-123.2431,2.0
1.0,9.0,49.278529,-123.100017,
,10.0,49.282047,-123.133057,
,10.0,49.277773,-123.114237,
